,Frame,RealHeading,Rsqr,X,Y,Z,centroid use,d_th,dx,dy,dz,error,heading
0,1.0,-0.7615389650464033,-1.0,-5.027740860261695,0.7042403889833333,-0.015203068116403684,0.0,-0.7455603501609188,-0.027740861286067897,0.0,0.19766866216645024,-0.02098200567388017,-0.7455603501609188
1,2.0,-1.5230779221513209,-1.0,-5.058106479482636,0.7042403889833333,0.18207943132630783,0.0,-0.7455603426319242,-0.030365619220940943,0.0,0.1972824994427115,-0.02098200551245517,-1.491120692792843
2,3.0,-2.2846168784076455,-1.0,-5.091091492597622,0.7042403889833333,0.378940916304175,0.0,-0.7455603448508079,-0.032985013114985584,0.0,0.19686148497786715,-0.02098200412377479,-2.236681037643651
3,4.0,-3.0461558312589134,-1.0,-5.126690072301456,0.7042403889833333,0.5753466099158047,0.0,-0.7455603461951752,-0.03559857970383451,0.0,0.19640569361162968,-0.020982001893735405,-2.9822413838388258
4,5.0,-3.807694797673215,-1.0,-5.1648959311833345,0.7042403889833333,0.7712618163999998,0.0,-0.7455603446162795,-0.0382058578694453,0.0,0.19591520573694432,-0.0,-3.807694797673215
5,6.0,-4.569233751133266,-1.0,-5.205702316328284,0.7042403889833333,0.9666519234026907,0.0,-0.7455603481084755,-0.04080638615738241,0.0,0.1953901077499417,-0.003496998889061552,-4.553255145781691
6,7.0,-5.330772715598811,-1.0,-5.249102022870532,0.7042403889833333,1.161482416098739,0.0,-0.7455603436691804,-0.043399706542247785,0.0,0.19483049269604824,-0.005994858128996396,-5.298815489450871
7,8.0,-6.092311670455877,-1.0,-5.295087381957926,0.7042403889833333,1.3557188753643745,0.0,-0.7455603443246144,-0.04598535908739443,0.0,0.1942364592656356,-0.007868250882969767,-6.044375833775486
8,9.0,-6.853850642301721,-1.0,-5.343650270572706,0.7042403889833333,1.5493269879788525,0.0,-0.7455603471574234,-0.04856288861477953,0.0,0.19360811261447797,-0.009325336180268403,-6.789936180932909
9,10.0,-7.615389601785679,-1.0,-5.394782110433332,0.7042403889833333,1.7422725523666667,0.0,-0.7455603424800853,-0.051131838790357875,0.0,0.19294556341248414,-0.0,-7.615389601785679
10,11.0,-8.376928559660566,-1.0,-5.448473865543948,0.7042403889833333,1.93452148035621,0.0,-0.7455603495647225,-0.05369175618088473,0.0,0.19224892896487344,-0.001907454289047065,-8.3609499513504
11,12.0,-9.138467514467692,-1.0,-5.504716054287441,0.7042403889833333,2.1260398126847257,0.0,-0.7455603433573126,-0.05624218874349296,0.0,0.19151833232851567,-0.003496999875458773,-9.106510294707714
12,13.0,-9.900006478645004,-1.0,-5.563498739762953,0.7042403889833333,2.3167937150656153,0.0,-0.7455603452230607,-0.0587826854755118,0.0,0.19075390238088952,-0.004842000741881368,-9.852070639930774
13,14.0,-10.661545436771144,-1.0,-5.624811537537061,0.7042403889833333,2.506749489487118,0.0,-0.7455603444810752,-0.06131279777410814,0.0,0.1899557744215028,-0.005994858131810405,-10.59763098441185
14,15.0,-11.423084389545593,-1.0,-5.6886436174499995,0.7042403889833333,2.695873579766667,0.0,-0.7455603469291232,-0.06383207849925387,0.0,0.18912408903959577,-0.0,-11.423084389545593
