,Frame,RealHeading,Rsqr,X,Y,Z,centroid use,d_th,dx,dy,dz,error,heading
35,36.0,-29.171883069061753,-0.93,-8.315671908626822,0.7042403889833333,6.137134886331569,0.0,0.0,-0.0424409021866996,0.0,0.17147831639143796,-0.0,-29.171883069061753
36,37.0,-29.171883069061753,-0.92,-8.409826264920177,0.7042403889833333,6.307372141373029,0.0,0.0,-0.09415435629335533,0.0,0.17023725504146014,-0.0,-29.171883069061753
37,38.0,-29.171883069061753,-0.95,-8.54186814697582,0.7042403889833333,6.4866131038565165,0.0,0.0,-0.1320418820556437,0.0,0.17924096248348764,-0.0,-29.171883069061753
38,39.0,-29.171883086592715,-0.88,-8.657427242079113,0.7042403889833333,6.650198360448355,0.0,0.0,-0.11555909510329165,0.0,0.16358525659183876,-6.009540597455487e-10,-29.171883069061753
39,40.0,-29.171883069061753,-0.89,-8.733569039283333,0.7042403889833333,6.833727313216667,0.0,0.0,-0.02096956647636361,0.0,0.1791347786660582,-0.0,-29.171883069061753
40,41.0,-29.17188306906174,-0.95,-8.8250818182948,0.7042403889833333,7.015389991066395,0.0,0.0,-0.14668500973932375,0.0,0.18605685195198163,4.871421800765867e-16,-29.171883069061753
41,42.0,-29.17188309156275,-0.84,-8.942702879062681,0.7042403889833333,7.1696115195321255,0.0,0.0,-0.11762106076788115,0.0,0.15422152846573045,-7.713248516463824e-10,-29.171883069061753
42,43.0,-29.171883125314277,-0.93,-8.998695984233873,0.7042403889833333,7.362361254707922,0.0,0.0,-0.055993105171191715,0.0,0.19274973517579674,-1.92831310116928e-09,-29.171883069061753
43,44.0,-29.17188303531024,-0.77,-9.182981767729801,0.7042403889833333,7.532622316071943,0.0,0.0,-0.1842857834959286,0.0,0.17026106136402053,1.1569877668427874e-09,-29.171883069061753
44,45.0,-29.171883057811247,-0.89,-9.212994578116668,0.7042403889833333,7.7113098750999995,0.0,0.0,-0.00967397536347292,0.0,0.18543550150767185,-0.0,-29.171883057811247
45,46.0,-29.171883110404135,-0.8,-9.3797175162257,0.7042403889833333,7.891516714749769,0.0,0.0,-0.18706177313242556,0.0,0.17345889717015428,-1.8028622995506127e-09,-29.171883057811247
46,47.0,-29.171883088941975,-0.88,-9.377848072484868,0.7042403889833333,8.056204919976194,0.0,0.0,0.0018694437408317555,0.0,0.16468820522642513,-1.0671483949994712e-09,-29.171883057811247
47,48.0,-29.17188301149882,-0.91,-9.464549829484065,0.7042403889833333,8.243369220805757,0.0,0.0,-0.08670175699919724,0.0,0.18716430082956315,1.5875706712522435e-09,-29.171883057811247
48,49.0,-29.17188304656072,-0.86,-9.580950043232752,0.7042403889833333,8.412840901636356,0.0,0.0,-0.11640021374868681,0.0,0.16947168083059871,3.856634007024946e-10,-29.171883057811247
